TIMESERIES,ts_period,ts_duration_of_tp,ts_num_tps,ts_scale_to_period
2022.01.22,2020,4,6,155.0
2022.02.08,2020,4,6,140.0
2022.03.21,2020,4,6,155.0
2022.04.11,2020,4,6,150.0
2022.05.22,2020,4,6,155.0
2022.06.16,2020,4,6,150.0
2022.07.22,2020,4,6,155.0
2022.08.19,2020,4,6,155.0
2022.09.20,2020,4,6,150.0
2022.10.26,2020,4,6,155.0
2022.11.19,2020,4,6,150.0
2022.12.16,2020,4,6,155.0
2027.01.22,2025,4,6,155.0
2027.02.08,2025,4,6,140.0
2027.03.21,2025,4,6,155.0
2027.04.11,2025,4,6,150.0
2027.05.22,2025,4,6,155.0
2027.06.16,2025,4,6,150.0
2027.07.22,2025,4,6,155.0
2027.08.19,2025,4,6,155.0
2027.09.20,2025,4,6,150.0
2027.10.26,2025,4,6,155.0
2027.11.19,2025,4,6,150.0
2027.12.16,2025,4,6,155.0
2032.01.22,2030,4,6,155.0
2032.02.08,2030,4,6,140.0
2032.03.21,2030,4,6,155.0
2032.04.11,2030,4,6,150.0
2032.05.22,2030,4,6,155.0
2032.06.16,2030,4,6,150.0
2032.07.22,2030,4,6,155.0
2032.08.19,2030,4,6,155.0
2032.09.20,2030,4,6,150.0
2032.10.26,2030,4,6,155.0
2032.11.19,2030,4,6,150.0
2032.12.16,2030,4,6,155.0
2037.01.22,2035,4,6,155.0
2037.02.08,2035,4,6,140.0
2037.03.21,2035,4,6,155.0
2037.04.11,2035,4,6,150.0
2037.05.22,2035,4,6,155.0
2037.06.16,2035,4,6,150.0
2037.07.22,2035,4,6,155.0
2037.08.19,2035,4,6,155.0
2037.09.20,2035,4,6,150.0
2037.10.26,2035,4,6,155.0
2037.11.19,2035,4,6,150.0
2037.12.16,2035,4,6,155.0
2042.01.22,2040,4,6,155.0
2042.02.08,2040,4,6,140.0
2042.03.21,2040,4,6,155.0
2042.04.11,2040,4,6,150.0
2042.05.22,2040,4,6,155.0
2042.06.16,2040,4,6,150.0
2042.07.22,2040,4,6,155.0
2042.08.19,2040,4,6,155.0
2042.09.20,2040,4,6,150.0
2042.10.26,2040,4,6,155.0
2042.11.19,2040,4,6,150.0
2042.12.16,2040,4,6,155.0
2047.01.22,2045,4,6,155.0
2047.02.08,2045,4,6,140.0
2047.03.21,2045,4,6,155.0
2047.04.11,2045,4,6,150.0
2047.05.22,2045,4,6,155.0
2047.06.16,2045,4,6,150.0
2047.07.22,2045,4,6,155.0
2047.08.19,2045,4,6,155.0
2047.09.20,2045,4,6,150.0
2047.10.26,2045,4,6,155.0
2047.11.19,2045,4,6,150.0
2047.12.16,2045,4,6,155.0
2052.01.22,2050,4,6,155.0
2052.02.08,2050,4,6,140.0
2052.03.21,2050,4,6,155.0
2052.04.11,2050,4,6,150.0
2052.05.22,2050,4,6,155.0
2052.06.16,2050,4,6,150.0
2052.07.22,2050,4,6,155.0
2052.08.19,2050,4,6,155.0
2052.09.20,2050,4,6,150.0
2052.10.26,2050,4,6,155.0
2052.11.19,2050,4,6,150.0
2052.12.16,2050,4,6,155.0
2057.01.22,2055,4,6,155.0
2057.02.08,2055,4,6,140.0
2057.03.21,2055,4,6,155.0
2057.04.11,2055,4,6,150.0
2057.05.22,2055,4,6,155.0
2057.06.16,2055,4,6,150.0
2057.07.22,2055,4,6,155.0
2057.08.19,2055,4,6,155.0
2057.09.20,2055,4,6,150.0
2057.10.26,2055,4,6,155.0
2057.11.19,2055,4,6,150.0
2057.12.16,2055,4,6,155.0
2062.01.22,2060,4,6,155.0
2062.02.08,2060,4,6,140.0
2062.03.21,2060,4,6,155.0
2062.04.11,2060,4,6,150.0
2062.05.22,2060,4,6,155.0
2062.06.16,2060,4,6,150.0
2062.07.22,2060,4,6,155.0
2062.08.19,2060,4,6,155.0
2062.09.20,2060,4,6,150.0
2062.10.26,2060,4,6,155.0
2062.11.19,2060,4,6,150.0
2062.12.16,2060,4,6,155.0
