energy_sources,load_zones,period,planned_capacity_mw
Uranium,Anhui,2025,940.0
Uranium,Fujian,2025,5642.0
Uranium,Jiangsu,2025,4158.0
Uranium,Zhejiang,2025,5283.0
Wind,Jiangsu,2025,10000.0
Uranium,Anhui,2030,2350.0
Uranium,Fujian,2030,14104.0
Uranium,Jiangsu,2030,10394.0
Uranium,Zhejiang,2030,13207.0
Wind,Jiangsu,2030,10000.0
Uranium,Anhui,2035,2350.0
Uranium,Fujian,2035,14104.0
Uranium,Jiangsu,2035,10394.0
Uranium,Zhejiang,2035,13207.0
Wind,Jiangsu,2035,10000.0
Uranium,Anhui,2040,2350.0
Uranium,Fujian,2040,14104.0
Uranium,Jiangsu,2040,10394.0
Uranium,Zhejiang,2040,13207.0
Wind,Jiangsu,2040,22000.0
Uranium,Anhui,2045,2350.0
Uranium,Fujian,2045,14104.0
Uranium,Jiangsu,2045,10394.0
Uranium,Zhejiang,2045,13207.0
Wind,Jiangsu,2045,30000.0
Uranium,Anhui,2050,2350.0
Uranium,Fujian,2050,14104.0
Uranium,Jiangsu,2050,10394.0
Uranium,Zhejiang,2050,13207.0
Wind,Jiangsu,2050,30000.0
Uranium,Anhui,2020,940.0
Uranium,Fujian,2020,5642.0
Uranium,Jiangsu,2020,4158.0
Uranium,Zhejiang,2020,5283.0
Wind,Jiangsu,2020,10000.0
Uranium,Anhui,2055,2350.0
Uranium,Fujian,2055,14104.0
Uranium,Jiangsu,2055,10394.0
Uranium,Zhejiang,2055,13207.0
Wind,Jiangsu,2055,30000.0
Uranium,Anhui,2060,2350.0
Uranium,Fujian,2060,14104.0
Uranium,Jiangsu,2060,10394.0
Uranium,Zhejiang,2060,13207.0
Wind,Jiangsu,2060,30000.0
