PERIOD,SystemCostPerYear_Real,SystemDemandPerYear_MWh,EnergyCostReal_per_MWh
2020,135443037000.47516,2054193018.4804928,65.93491253351826
2025,196741704179.22736,2963336377.6158543,66.39195795163675
2030,253567961193.18674,3435319036.0001335,73.81205603786515
2035,369622787545.76105,3886748171.2300553,95.0982083896588
2040,321670713758.2637,4187131631.992984,76.82364492686258
2045,325565813500.0868,4292861952.713216,75.83887324732619
2050,303948008029.07263,4335962630.490977,70.0993144847873
2055,260552953058.9859,4357685846.651045,59.7915871469315
2060,253467148361.78485,4357685846.651045,58.16553952749454
